------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jul 17 14:42:45 2017)"
"Ions Flown Separately, Comp Quality(10)"
"Number of Ions to Fly = 100"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","YES","YES","YES","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","E","KE"

         1,         1,         0,         5,         1,120.011697,-0.01351713613,0.08521586234,239.5989593,3.121335748
         1,         4,2.146042632,         5,         1,871.9999998,0.5572065977,20.5405696,-2100.000016,2343.836676
         2,         1,         0,         5,         1,120.0542129,-0.1028459766,-0.01733656879,238.1412723,2.899872002
         2,         4,2.155827006,         5,         1,871.9999999,-15.71572065,2.980926949,-2100.000011,2341.446181
         3,         1,         0,         5,         1,120.0010257,0.0123726061,-0.05571742397,239.9648345,3.216567843
         3,         4,2.130814292,         5,         1,871.9999993,-5.192550339,-3.977667879,-2100.000044,2344.297707
         4,         1,         0,         5,         1,119.9600013,-0.04286247931,0.09161554183,241.3713852,3.190052877
         4,         4,2.134808927,         5,         1,871.9999996,-14.91447021,2.605203405,-2100.000029,2344.686676
         5,         1,         0,         5,         1,120.0482129,-0.07271328843,0.02313568286,238.346987,3.130920676
         5,         4,2.134724212,         5,         1,871.9999999,-8.207132739,11.95399092,-2100.000006,2341.888011
         6,         1,         0,         5,         1,119.9781636,0.07363076385,0.1764057384,240.7486763,3.105531312
         6,         4,2.140314274,         5,         1,871.9999996,-15.39750096,-11.78316173,-2100.000033,2344.081255
         7,         1,         0,         5,         1,120.0345279,0.07144378872,-0.005509383604,238.8161846,3.215803882
         7,         4,2.147898249,         5,         1,871.9999993,-5.805996655,19.79420671,-2100.000062,2343.019195
         8,         1,         0,         5,         1,119.9965547,-0.03811413162,-0.04476970737,240.1181243,3.070854084
         8,         4,2.139938942,         5,         1,871.9999993,10.69130667,-15.81212432,-2100.000059,2343.519968
         9,         1,         0,         5,         1,120.0695557,0.03963610394,0.009991697847,237.615233,2.90410196
         9,         4,2.155818303,         5,         1,871.9999993,16.07497851,-0.4924568474,-2100.000049,2340.813075
        10,         1,         0,         5,         1,119.9465539,-0.2360879287,-0.05116742409,241.8324364,3.12436381
        10,         4,2.145267642,         5,         1,871.9999995,4.080786081,20.14459926,-2100.000045,2346.645675
        11,         1,         0,         5,         1,119.9345334,0.1602677893,-0.1468858884,242.2445685,3.092761048
        11,         4,2.140422362,         5,         1,871.9999996,-4.067690952,18.98824241,-2100.000034,2345.446391
        12,         1,         0,         5,         1,119.9099321,-0.01331127854,0.1030261843,243.0880425,2.912260123
