Bincenters,m2q
1.05,0
1.15,0
1.25,0
1.35,0
1.45,0
1.55,0
1.65,0
1.75,0
1.85,0
1.95,0
2.05,0
2.15,0
2.25,0
2.35,0
2.45,0
2.55,0
2.65,0
2.75,0
2.85,0
2.95,0
3.05,0
3.15,0
3.25,0
3.35,0
3.45,0
3.55,0
3.65,0
3.75,0
3.85,0
3.95,0
4.05,0
4.15,0
4.25,0
4.35,0
4.45,0
4.55,0
4.65,0
4.75,0
4.85,0
4.95,0
5.05,0
5.15,0
5.25,0
5.35,0
5.45,0
5.55,0
5.65,0
5.75,0
5.85,0
5.95,0
6.05,0
6.15,2
6.25,10.568972331008
6.35,27.5903665911965
6.45,12.4965401011708
6.55,7.13193127116224
6.65,13.0381047811366
6.75,19.4715801309509
6.85,29.6378388508139
6.95,26.8040975706768
7.05,7.07131420062824
7.15,21.6200103006568
7.25,35.4359230306368
7.35,5.2732300208053
7.45,10.4787115510138
7.55,33.2079292110309
7.65,18.1319312711622
7.75,27.3991479011137
7.85,21.0452362011994
7.95,33.489408681108
8.05,42.5582752009138
8.15,23.3706222208624
8.25,13.1794035307796
8.35,19.9846191306654
8.45,15.2554014706482
8.55,18.5226181005997
8.65,22.9881848406968
8.75,8.26966431077389
8.85,22.8219261208338
8.95,17.6485359809081
9.05,40.2946242809938
9.15,21.4787115510138
9.25,17.0167105209481
9.35,16.6521016909395
9.45,29.1069713009423
9.55,37.3706222208624
9.65,-0.181639589197573
9.75,2.08557704075389
9.85,29.244704340554
9.95,23.8907926406397
10.05,27.4323573206054
10.15,30.8040975706768
10.25,22.4501858707625
10.35,0.738796760902375
10.45,18.182969240811
10.55,17.3741879308938
10.65,9.47514584098235
10.75,25.8361889609595
10.85,11.6485359809081
10.95,44.3599250907682
11.05,12.6414045608453
11.15,12.9917505507282
11.25,32.3456622506425
11.35,12.9917505507282
11.45,1.89435835067107
11.55,18.3527936707054
11.65,19.2482700505854
11.75,16.6235760106882
11.85,29.6378388508139
11.95,16.998881970791
12.05,50.0820113307225
12.15,10.0024476808224
12.25,37.5440123607881
12.35,17.182969240811
12.45,8.19723208093666
12.55,20.1034055909109
12.65,28.1758378207482
12.75,10.3634908007996
12.85,26.9086211907967
12.95,22.5333152306939
13.05,12.2589671806796
13.15,28.9846191306654
13.25,25.8005318606454
13.35,10.262532890711
13.45,31.4394887406682
13.55,-0.00824944927180127
13.65,25.4608830008567
13.75,27.3706222208624
13.85,25.1972320809367
13.95,25.8397546709909
14.05,38.8397546709909
14.15,26.5796694611023
14.25,41.2079292110309
14.35,34.9478440011422
14.45,90.0559333312936
14.55,87.1604569514136
14.65,99.6224579814792
14.75,101.636720821605
14.85,139.93959455187
